Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemplyment Rate
Nova Scotia,2023,1,-2.19,336,158.0333333,42.4,34,23.7,0.139324918,0.24744902,0.19,0.36,,0.29,0.16,5.7
Nova Scotia,2023,2,10.05,301,159.1666667,43.1,29.8,27.2,0.13908871,0.245781184,0.18,0.35,<1%,0.31,0.16,6.366666667
Nova Scotia,2023,3,19,525,162.6,37.3,38.7,24,0.144282081,0.255062523,0.17,0.36,,0.31,0.16,6.95
Ontario,2021,2,14.74,152,142.5,38.7,36.7,24.7,0.141716645,0.218870026,0.18,0.38,<1%,0.28,0.16,9.2
Ontario,2021,3,21.2,249,144.0666667,48.3,31.1,20.6,0.142111138,0.214150525,0.18,0.37,<1%,0.28,0.17,7.666666667
Ontario,2021,4,7.17,228,145.9,45.8,32.1,22,0.138567053,0.204846048,0.19,0.35,<1%,0.29,0.17,6.5
Ontario,2022,1,-2.51,180,149,44.9,33.6,21.5,0.140020514,0.202427775,0.18,0.33,<1%,0.31,0.18,6.166666667
Ontario,2022,2,14.31,135,153.2333333,45.6,31.7,22.7,0.152374572,0.222325554,0.19,0.33,<1%,0.31,0.17,5.366666667
Ontario,2022,3,21.3,182,154.2666667,52.1,31.5,16.4,0.158184188,0.235969993,0.18,0.34,<1%,0.33,0.15,5.333333333
Ontario,2022,4,5.89,229,155.1333333,44.6,32.4,23,0.158862084,0.241496292,0.19,0.32,<1%,0.32,0.17,5.466666667
Ontario,2023,1,0.73,243,156.4666667,45,33,22,0.155027667,0.235600836,0.17,0.32,<1%,0.34,0.17,5.2
Ontario,2023,2,14.54,258,158.2666667,45.3,33.5,21.1,0.15523538,0.234498206,0.17,0.3,<1%,0.37,0.16,5.366666667
Ontario,2023,3,20.93,153,159.7333333,44.1,33.8,22.1,0.158687295,0.239853215,0.16,0.31,<1%,0.37,0.16,5.85
Prince Edward Island,2021,2,9.9,278,144.0666667,48.7,33.1,18.1,0.136650797,0.215418361,0.19,0.41,,0.26,0.14,10.86666667
Prince Edward Island,2021,3,18.12,393,146.8333333,52.1,31.4,16.4,0.137451258,0.210524042,0.15,0.47,,0.22,0.16,11.03333333
Prince Edward Island,2021,4,4.5,318,147.7333333,52.2,29.7,18.1,0.137005392,0.206407233,0.21,0.37,,0.25,0.17,9
Prince Edward Island,2022,1,-4.38,399,151.8333333,53.2,31.7,15.1,0.139460335,0.204278761,0.2,0.4,,0.26,0.14,9.333333333
Prince Edward Island,2022,2,9.03,255,158.9333333,49.8,32.5,17.7,0.151232639,0.224158606,0.2,0.39,,0.22,0.19,7.366666667
Prince Edward Island,2022,3,17.5,341,159.6333333,56.7,31,12.2,0.156608286,0.237933181,0.2,0.42,,0.24,0.14,7.5
Prince Edward Island,2022,4,5.15,265,160.6,47,32.5,20.6,0.158227408,0.245349275,0.19,0.38,,0.27,0.16,6.433333333
Prince Edward Island,2023,1,-3.66,282,160.7333333,44.3,34.4,21.4,0.156195286,0.241837969,0.18,0.37,,0.3,0.15,7
Prince Edward Island,2023,2,8.95,205,161.3333333,41.6,36.2,22.2,0.157313052,0.242055043,0.17,0.35,,0.27,0.21,7.533333333
Prince Edward Island,2023,3,18.73,389,164.1,48.8,33.7,17.5,0.163442015,0.251930886,0.17,0.41,,0.3,0.12,7.35
Quebec,2021,2,14.87,172,137.0666667,53,34.3,12.7,0.130916372,0.259851032,0.26,0.23,,0.17,0.34,6.5
Quebec,2021,3,20.5,151,138.8,62,29.2,8.7,0.130523448,0.25145328,0.26,0.25,,0.18,0.31,5.933333333
Quebec,2021,4,3.91,243,140.3,58.9,30,11.1,0.125616068,0.237217877,0.26,0.24,,0.18,0.32,4.8
Quebec,2022,1,-7.26,210,142.7333333,55.8,31.1,13,0.126173876,0.231947019,0.27,0.23,<1%,0.17,0.33,4.533333333
Quebec,2022,2,13.82,352,147.2666667,56.8,31.8,11.3,0.135557149,0.252177434,0.25,0.22,,0.17,0.36,4.366666667
Quebec,2022,3,19.66,290,148.5,67.6,24,8.4,0.139794236,0.267833565,0.24,0.25,,0.2,0.31,4.266666667
Quebec,2022,4,4.58,239,149.4333333,59.1,28.6,12.3,0.138670861,0.272508716,0.26,0.21,,0.2,0.33,3.966666667
Quebec,2023,1,-3.66,187,150.6,59.2,29.3,11.6,0.134274673,0.264347619,0.26,0.21,,0.19,0.34,4.2
Quebec,2023,2,13.86,200,153.3666667,59.2,30,10.8,0.133703368,0.261934453,0.22,0.21,,0.23,0.34,4.2
Quebec,2023,3,20.34,323,155.0666667,55.8,32,12.3,0.138160525,0.270982046,0.22,0.23,,0.22,0.33,4.45
Saskatchewan,2021,2,11.22,70,143.8,42.3,35.9,21.8,0.14701061,0.329373608,0.2,0.36,,0.29,0.15,6.566666667
Saskatchewan,2021,3,17.99,47,145,48.6,35,16.4,0.144293294,0.313194805,0.19,0.4,,0.27,0.14,6.633333333
Saskatchewan,2021,4,-3.53,23,146.2666667,47.2,32.1,20.7,0.137954673,0.293654178,0.19,0.36,,0.3,0.15,5.666666667
Saskatchewan,2022,1,-7.8,24,149.4333333,46.9,34.1,18.9,0.137695364,0.284335404,0.18,0.36,<1%,0.3,0.16,4.966666667
Saskatchewan,2022,2,10.04,97,153.8666667,47.4,32.9,19.6,0.146322462,0.307067237,0.19,0.34,,0.32,0.15,4.6
Saskatchewan,2022,3,19.09,40,155.6333333,45.6,41.7,12.7,0.147568135,0.319511292,0.18,0.36,,0.32,0.14,4.3
Saskatchewan,2022,4,-5.88,61,156.8333333,41.8,35.2,23,0.144942377,0.323194091,0.19,0.34,,0.32,0.15,4.533333333
Saskatchewan,2023,1,-10.33,7,157.7,43.3,36.1,20.6,0.139420173,0.311252147,0.18,0.32,,0.35,0.15,4.433333333
Saskatchewan,2023,2,12.18,55,160.4333333,44.8,37,18.2,0.138300109,0.307047546,0.18,0.32,<1%,0.35,0.15,4.566666667
Saskatchewan,2023,3,17.95,48,161.3,49.5,31.1,19.4,0.141442603,0.313504967,0.16,0.35,,0.34,0.15,5.1
