Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Therapy,Stress,Unemployment Rate
Quebec,2022,3,19.66,290,-0.08971125,-0.201884253,-0.268997983,67.6,24,8.4,0.139794236,0.267833565,0.24,0.25,0.2,0.31,4.266666667
Quebec,2022,4,4.58,239,0.159083446,-0.134048257,0.472016183,59.1,28.6,12.3,0.138670861,0.272508716,0.26,0.21,0.2,0.33,3.966666667
Quebec,2023,1,-3.66,187,0.511937423,0.933955971,1.543624161,59.2,29.3,11.6,0.134274673,0.264347619,0.26,0.21,0.19,0.34,4.2
Quebec,2023,2,13.86,200,0.613247808,1.049180328,1.850627892,59.2,30,10.8,0.133703368,0.261934453,0.22,0.21,0.23,0.34,4.2
Quebec,2023,3,20.34,323,0.280782391,0.647668394,0.843608047,55.8,32,12.3,0.138160525,0.270982046,0.22,0.23,0.22,0.33,4.45
Saskatchewan,2021,2,11.22,70,0.116435347,-0.069492703,0.348918353,42.3,35.9,21.8,0.14701061,0.329373608,0.2,0.36,0.29,0.15,6.566666667
Saskatchewan,2021,3,17.99,47,0.369717275,0.483759502,1.112656467,48.6,35,16.4,0.144293294,0.313194805,0.19,0.4,0.27,0.14,6.633333333
Saskatchewan,2021,4,-3.53,23,0.115825135,-0.136892539,0.343878955,47.2,32.1,20.7,0.137954673,0.293654178,0.19,0.36,0.3,0.15,5.666666667
Saskatchewan,2022,1,-7.8,24,1.241472557,2.435723951,3.769705278,46.9,34.1,18.9,0.137695364,0.284335404,0.18,0.36,0.3,0.16,4.966666667
Saskatchewan,2022,2,10.04,97,0.873149749,1.968503937,2.642007926,47.4,32.9,19.6,0.146322462,0.307067237,0.19,0.34,0.32,0.15,4.6
Saskatchewan,2022,3,19.09,40,0.067292697,-0.447570332,0.193050193,45.6,41.7,12.7,0.147568135,0.319511292,0.18,0.36,0.32,0.14,4.3
Saskatchewan,2022,4,-5.88,61,0.004583755,-1.330798479,0,41.8,35.2,23,0.144942377,0.323194091,0.19,0.34,0.32,0.15,4.533333333
Saskatchewan,2023,1,-10.33,7,0.659342654,1.340140396,1.991008349,43.3,36.1,20.6,0.139420173,0.311252147,0.18,0.32,0.35,0.15,4.433333333
Saskatchewan,2023,2,12.18,55,0.356633605,0.06234414,1.070528967,44.8,37,18.2,0.138300109,0.307047546,0.18,0.32,0.35,0.15,4.566666667
Saskatchewan,2023,3,17.95,48,0.145557752,0.062073246,0.436137072,49.5,31.1,19.4,0.141442603,0.313504967,0.16,0.35,0.34,0.15,5.1
