,Unnamed: 0,Quarterly Sum Precip (mm)_diff,CPI Compounded_diff,Debt_to_Asset_Ratio_diff,Mortgage_Debt_to_Real_Estate_Ratio_diff,Depression_diff,Anxiety_diff,Stress_diff,Unemployment Rate_diff,Quarterly Avg Temp (°C)_diff,Therapy_diff2
39,39,0.7201264686357582,0.4801622787614279,-0.01074032296981886,-0.03863186497781951,-0.10919815885979595,-0.35879324541879776,-0.3363464368299338,0.017742894321040703,0.11266432845543894,-0.0025000000000000022
40,40,0.9271854384720193,0.2134336838073293,-0.03357607307048838,0.11530453329522641,-0.48189324689135127,0.6713395630237774,0.08048289738430547,0.18846798150668076,0.24479237668422593,-0.015000000000000013
41,41,0.6770267165713086,-0.18337805675239816,-0.03254818883122579,0.08539253375708108,-0.132714533393905,0.5151281138627914,0.082815734989647,0.1947172066385554,0.9417557058042201,0.0
42,42,1.2608069707757146,-0.16863952799445725,-0.04595611728952442,0.023730593471442518,0.5010845034741686,0.6782984590146977,0.2635046113307,0.13513201247825535,0.7016348893947377,-0.010000000000000092
43,43,0.6680097938889986,0.6872677482816338,-0.03961935610927214,0.02873716990448849,0.0,0.428687080253515,-8.881784197001252e-16,0.11742182922298161,-0.13126705584882803,0.010000000000000092
44,44,-0.37113937012554743,0.4452811621951158,0.0002772729923288253,-0.06790468575007941,0.32776777738097596,-0.3244419224294428,0.0,-0.046000225306593645,-0.34865818836003637,0.01000000000000012
45,45,0.37113937012554743,-0.47984330043697865,0.0070924825762817,0.026042090714579302,0.10106054154855737,-0.5025586518196903,0.09324009324009452,-0.06100297193340243,-1.02499924829175,0.0124999999999999
46,46,-0.23651090970868083,-0.1040110779423129,0.016472360809962616,0.1076320583042299,-0.20610688325864968,-0.3698984441498565,-0.18369690011481232,-0.045329397417264605,-0.7294838798104077,-0.00250000000000003
47,47,-0.9939015319191995,-0.5688394808024412,0.008718942650187245,0.10575982641648568,0.0,-0.2598903843530047,0.18369690011481055,-0.06329272545149056,0.050951716652740675,0.00250000000000003
48,48,-0.31667390674912,-0.405154665112395,-0.006625057043099458,0.023308662374718403,-0.22272143567088365,-0.4778705679839894,-0.09324009324009275,-0.023378735147523866,0.02041259171967491,0.0050000000000000044
49,49,-0.9213437255012025,0.5710172124951243,-0.0034352780878881273,0.006335294428969629,-0.11802931519889659,0.31254631760497964,8.881784197001252e-16,-0.03824239894852077,-0.10343680326483096,-0.025000000000000022
50,50,-0.19267136815702912,0.23064528647003368,-0.04670420847357071,-0.2798024323279409,0.0,0.16532425037900977,0.09324009324009186,-0.024883308820438543,0.15513855907788088,0.0050000000000000044
51,51,0.14469460049433636,-0.14368491041938958,-0.04221617309824888,-0.2862227028154584,-0.12272424571521588,0.44140562488685875,0.0,-0.06274459117880626,1.0390164334494534,-0.007500000000000007
52,52,0.8451129524589369,-0.16423518425527373,-0.04770957150759125,-0.3197655807565638,0.0,0.09331864412840152,0.0,-0.04735733363239625,1.0839815286262153,0.007500000000000007
53,53,1.1398913241782331,0.7327067190788071,-0.05470763486886021,-0.3757457106979109,0.12272424571521588,-0.3630872554704656,0.0961538461538467,-0.06408598855460834,0.3227103997186713,0.012500000000000011
54,54,0.07412505598913555,0.5953135102000409,0.016662448910354843,0.004941068901001544,-0.12272424571521588,-0.3369612639238114,0.0,-0.0863535131559221,-0.023786462240133144,0.0025000000000000022
55,55,-0.837343207136481,-0.45208113957123075,0.024480157103058175,0.08964649839033234,0.24075356091411249,-0.5319060247665512,0.09920634920634885,-0.049692487702921895,-0.7780444119254932,0.0024999999999999467
56,56,-0.29813251657217066,0.054986382554633284,0.028400703996416476,0.1462176761241693,0.1135232768110877,-0.20717778572351708,0.0,-0.06485452680381298,-0.7050827184285327,-0.009999999999999953
57,57,-0.9717570844196892,-0.7119437691947781,0.018859231518908448,0.13568913330005922,-0.1135232768110877,-0.06645923622927288,-0.09920634920634885,-0.045256591600762786,0.11402172199250948,-0.0025000000000000022
58,58,-0.14508083364485103,-0.6843117436700741,0.0008726773832399282,0.0533003762029865,-0.11802931519889659,-0.06519629616736221,0.0,-0.006635724388767139,0.14455618429632233,0.0025000000000000022
59,59,1.58785026018748,0.7252336037700704,0.003230427276179171,0.03455512632607491,-0.250340654881367,0.0,-0.0961538461538467,0.009937147024188908,0.07649280290201244,-0.0025000000000000022
60,60,-1.48410259073572,0.1790414565319085,-0.0017029076682579802,-0.1279310879842849,-0.2707422855033878,0.26845145378087726,0.0961538461538467,0.10976740277004837,0.3863295138719689,-0.0050000000000000044
61,61,-0.6102890722548651,-0.09257918826997003,0.004924352705740764,-0.1274012059095026,-0.1435656246842154,0.0703818643392749,-0.0961538461538467,0.06737707576055185,1.1563623050245053,0.0
62,62,-0.5289921366739634,0.1191800274993049,-0.000920131019664927,-0.1597736708941973,0.1435656246842154,0.0,-0.09324009324009275,0.004407720623616829,1.0751851363979132,-0.0025000000000000022
63,63,-2.763825098135138,0.3043519361991154,-0.007548695806435912,-0.210921947973839,0.1380277521094828,-0.20717778572351708,-0.17825311942958955,-0.02617804734151763,0.32059670803591755,0.0050000000000000044
64,64,-0.15021537385760375,0.2244765505954096,0.01877295758679387,0.014046376468015875,0.132714533393905,-0.3198824291698469,-0.08525149190110959,-0.1390285770254147,-0.05591272382125556,0.007500000000000007
65,65,-0.6083352616340285,-0.2756890358591835,0.027660994654560067,0.08803752746659965,0.0,-0.1776229387347793,0.17304780445598134,-0.09518048655338429,-0.8578863777444456,0.0050000000000000044
66,66,0.009281567471219887,-0.16344568849930474,0.03386814601738619,0.1454157405826042,0.0,-0.16756187642912546,8.881784197001252e-16,-0.045230174633992926,-0.8183962396269608,-0.0050000000000000044
67,67,0.5723783198806611,-0.4181710381933488,0.024326146365557078,0.1290930079966618,-0.132714533393905,-0.05370838413561363,0.09045680687471691,-0.04424825547859168,0.06332421376119113,0.0
68,68,1.0550969653533588,-0.42199180130214087,0.00457087344297169,0.04679436783142138,-0.2815933767936982,-0.1549486127368429,0.09324009324009275,0.0,0.08907653603081744,0.007499999999999896
69,69,-0.24201091243787332,0.2537518972499999,0.0008016863364932458,0.01486465225451361,-0.3046939800253201,-0.14605893807271486,-0.09324009324009275,0.023893236837044807,0.07090791902069737,-0.004999999999999838
70,70,0.40667956437012087,0.3614549714942037,-0.03601985359611559,-0.10041505090378938,1.687538997430238e-14,0.46533203706174253,0.2886002886002883,0.22055070317226644,0.27275038620375813,-0.025000000000000022
71,71,1.1825466809247782,-0.041177709252354644,-0.02945257763557607,-0.09790349652673813,-0.32980052278957406,0.9809886351022762,0.10240655401945808,0.1937606650563548,0.734799944196284,-0.015000000000000069
72,72,0.44986104531727733,-0.0897332755739888,-0.031492810582598896,-0.11130486128484063,0.6344945028148773,0.5628865659837679,-0.10240655401945808,0.10410154531906413,0.39740843375786605,5.551115123125783e-17
73,73,1.7311907614813578,1.0329507763476895,-0.034326117855289384,-0.14356170601247809,0.5419243193537543,0.8407389312329183,0.2081706999739792,0.09055761376824556,-0.5914828746867498,0.0024999999999999467
74,74,-0.1549828082859932,0.47844071315527525,0.026140439773339796,0.03554993917555482,0.12272424571521588,-0.19912615532553946,-0.4967709885742675,-0.09101123146713075,-0.7838147615242095,0.017500000000000016
