Unnamed: 0.1,Unique_Key,Quarterly Sum Precip (mm)_diff,CPI Compounded_diff,Debt_to_Asset_Ratio_diff,Mortgage_Debt_to_Real_Estate_Ratio_diff,Depression_diff,Anxiety_diff,Stress_diff,Unemployment Rate_diff,Quarterly Avg Temp (°C)_diff,Therapy_diff2,Province,YEAR,QUARTER,Excellent_Very_Good,Good,Fair_Poor
46,46,-0.2365109097086808,-0.1040110779423129,0.0164723608099626,0.1076320583042299,-0.2061068832586496,-0.3698984441498565,-0.1836969001148123,-0.0453293974172646,-0.7294838798104077,-0.0025,Newfoundland and Labrador,2022,3,50.2,31.2,18.6
47,47,-0.9939015319191996,-0.5688394808024412,0.0087189426501872,0.1057598264164856,0.0,-0.2598903843530047,0.1836969001148105,-0.0632927254514905,0.0509517166527406,0.0025,Newfoundland and Labrador,2022,4,46.9,32.3,20.8
48,48,-0.31667390674912,-0.405154665112395,-0.0066250570430994,0.0233086623747184,-0.2227214356708836,-0.4778705679839894,-0.0932400932400927,-0.0233787351475238,0.0204125917196749,0.005,Newfoundland and Labrador,2023,1,48.4,32.8,18.8
49,49,-0.9213437255012024,0.5710172124951243,-0.0034352780878881,0.0063352944289696,-0.1180293151988965,0.3125463176049796,8.881784197001252e-16,-0.0382423989485207,-0.1034368032648309,-0.025,Newfoundland and Labrador,2023,2,49.9,33.4,16.7
50,50,-0.1926713681570291,0.2306452864700336,-0.0467042084735707,-0.2798024323279409,0.0,0.1653242503790097,0.0932400932400918,-0.0248833088204385,0.1551385590778808,0.005,Newfoundland and Labrador,2023,3,50.6,30.5,19.0
51,51,0.1446946004943363,-0.1436849104193895,-0.0422161730982488,-0.2862227028154584,-0.1227242457152158,0.4414056248868587,0.0,-0.0627445911788062,1.0390164334494534,-0.0075,Nova Scotia,2021,2,47.0,29.3,23.7
52,52,0.8451129524589369,-0.1642351842552737,-0.0477095715075912,-0.3197655807565638,0.0,0.0933186441284015,0.0,-0.0473573336323962,1.083981528626215,0.0075,Nova Scotia,2021,3,50.8,30.0,19.2
53,53,1.1398913241782331,0.7327067190788071,-0.0547076348688602,-0.3757457106979109,0.1227242457152158,-0.3630872554704656,0.0961538461538467,-0.0640859885546083,0.3227103997186713,0.0125,Nova Scotia,2021,4,37.6,36.7,25.7
54,54,0.0741250559891355,0.5953135102000409,0.0166624489103548,0.0049410689010015,-0.1227242457152158,-0.3369612639238114,0.0,-0.0863535131559221,-0.0237864622401331,0.0025,Nova Scotia,2022,1,39.0,36.6,24.4
55,55,-0.837343207136481,-0.4520811395712307,0.0244801571030581,0.0896464983903323,0.2407535609141124,-0.5319060247665512,0.0992063492063488,-0.0496924877029218,-0.7780444119254932,0.0024999999999999,Nova Scotia,2022,2,46.2,30.1,23.7
56,56,-0.2981325165721706,0.0549863825546332,0.0284007039964164,0.1462176761241693,0.1135232768110877,-0.207177785723517,0.0,-0.0648545268038129,-0.7050827184285327,-0.0099999999999999,Nova Scotia,2022,3,51.1,29.0,19.9
57,57,-0.9717570844196892,-0.7119437691947781,0.0188592315189084,0.1356891333000592,-0.1135232768110877,-0.0664592362292728,-0.0992063492063488,-0.0452565916007627,0.1140217219925094,-0.0025,Nova Scotia,2022,4,41.6,38.2,20.2
58,58,-0.145080833644851,-0.6843117436700741,0.0008726773832399,0.0533003762029865,-0.1180293151988965,-0.0651962961673622,0.0,-0.0066357243887671,0.1445561842963223,0.0025,Nova Scotia,2023,1,42.4,34.0,23.7
59,59,1.58785026018748,0.7252336037700704,0.0032304272761791,0.0345551263260749,-0.250340654881367,0.0,-0.0961538461538467,0.0099371470241889,0.0764928029020124,-0.0025,Nova Scotia,2023,2,43.1,29.8,27.2
60,60,-1.48410259073572,0.1790414565319085,-0.0017029076682579,-0.1279310879842849,-0.2707422855033878,0.2684514537808772,0.0961538461538467,0.1097674027700483,0.3863295138719689,-0.005,Nova Scotia,2023,3,37.3,38.7,24.0
61,61,-0.6102890722548651,-0.09257918826997,0.0049243527057407,-0.1274012059095026,-0.1435656246842154,0.0703818643392749,-0.0961538461538467,0.0673770757605518,1.156362305024505,0.0,Ontario,2021,2,38.7,36.7,24.7
62,62,-0.5289921366739634,0.1191800274993049,-0.0009201310196649,-0.1597736708941973,0.1435656246842154,0.0,-0.0932400932400927,0.0044077206236168,1.0751851363979132,-0.0025,Ontario,2021,3,48.3,31.1,20.6
63,63,-2.763825098135138,0.3043519361991154,-0.0075486958064359,-0.210921947973839,0.1380277521094828,-0.207177785723517,-0.1782531194295895,-0.0261780473415176,0.3205967080359175,0.005,Ontario,2021,4,45.8,32.1,22.0
