Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemployment Rate
Newfoundland and Labrador,2023,2,5.52,296,0.4022445987258353,0.3790271636133887,1.2101910828025586,49.9,33.4,16.7,0.1538096254401878,0.3018267940840358,0.19,0.36,,0.28,0.17,9.7
Newfoundland and Labrador,2023,3,16.74,302,0.3977030097738828,0.6257822277847309,1.195720578980497,50.6,30.5,19,0.1577885413333188,0.3088710220009419,0.19,0.41,,0.24,0.16,9
Nova Scotia,2021,2,11.13,310,0.328227687,0.6324666198172714,0.9873060648801336,47,29.3,23.7,0.1299370152962851,0.23035694,0.2,0.4,,0.24,0.16,9.2
Nova Scotia,2021,3,17.5,419,0.325190852,0.27739251,0.9776536312849248,50.8,30,19.2,0.1294707364883786,0.2231020603027484,0.17,0.43,,0.24,0.16,8.133333333
Nova Scotia,2021,4,4.86,422,0.1855376679138117,-0.34270048,0.5532503457814641,37.6,36.7,25.7,0.1272068277010501,0.2152293158616486,0.19,0.37,<1%,0.27,0.17,8.033333333
Nova Scotia,2022,1,-3.01,481,1.3574108620949394,2.8532608695652293,4.126547455295726,39,36.6,24.4,0.1288055577188002,0.2118091188975223,0.2,0.37,,0.28,0.15,6.866666667
Nova Scotia,2022,2,10.26,322,1.1132216395029149,2.6902887139107574,3.368560105680296,46.2,30.1,23.7,0.1385971259624407,0.2316003855601505,0.19,0.36,,0.29,0.16,6.533333333
Nova Scotia,2022,3,19,286,-0.277165648,-0.95724314,-0.830670927,51.1,29,19.9,0.1424586274902106,0.2458144303266116,0.19,0.36,,0.3,0.15,6.7
Nova Scotia,2022,4,5.98,376,0.2634859336255883,-0.445576066,0.773195876,41.6,38.2,20.2,0.1426786056851394,0.2528939613487244,0.2,0.34,,0.29,0.17,6.266666667
Nova Scotia,2023,1,-2.19,336,0.4249160898777211,0.6993006993006956,1.2787723785166127,42.4,34,23.7,0.1393249176728869,0.2474490197003286,0.19,0.36,,0.29,0.16,5.7
Nova Scotia,2023,2,10.05,301,0.2107141253670989,0.062774639,0.631313131,43.1,29.8,27.2,0.1390887095244675,0.2457811838102206,0.18,0.35,<1%,0.31,0.16,6.366666667
Nova Scotia,2023,3,19,525,0.6883385655412653,0.3701418877236239,2.0702634880802817,37.3,38.7,24,0.1442820812426971,0.2550625233296006,0.17,0.36,,0.31,0.16,6.95
