Sample,Target,Type,Value
33.0,Excellent_Very_Good,Predicted,49.23759688410914
34.0,Excellent_Very_Good,Actual,36.589038578059295
34.0,Excellent_Very_Good,Predicted,38.15522135206962
35.0,Excellent_Very_Good,Actual,83.79179943092606
35.0,Excellent_Very_Good,Predicted,78.01931280292231
36.0,Excellent_Very_Good,Actual,76.86475065195093
36.0,Excellent_Very_Good,Predicted,78.81009144091773
37.0,Excellent_Very_Good,Actual,31.399467721266216
37.0,Excellent_Very_Good,Predicted,29.12157863919223
38.0,Excellent_Very_Good,Actual,57.2625332643954
38.0,Excellent_Very_Good,Predicted,62.96941789099074
39.0,Excellent_Very_Good,Actual,27.60490483306951
39.0,Excellent_Very_Good,Predicted,28.232280767886245
40.0,Excellent_Very_Good,Actual,45.28429325464004
40.0,Excellent_Very_Good,Predicted,52.15521345328098
41.0,Excellent_Very_Good,Actual,35.29783659443947
41.0,Excellent_Very_Good,Predicted,33.46532942289543
42.0,Excellent_Very_Good,Actual,65.73994627797582
42.0,Excellent_Very_Good,Predicted,64.58801081189269
43.0,Excellent_Very_Good,Actual,37.03510829880352
43.0,Excellent_Very_Good,Predicted,38.23434170788312
44.0,Excellent_Very_Good,Actual,45.909297789143146
44.0,Excellent_Very_Good,Predicted,50.1330909858013
45.0,Excellent_Very_Good,Actual,71.93241225090415
45.0,Excellent_Very_Good,Predicted,74.19594220541377
46.0,Excellent_Very_Good,Actual,41.29918291138346
46.0,Excellent_Very_Good,Predicted,36.36508713647321
47.0,Excellent_Very_Good,Actual,90.64232691643387
47.0,Excellent_Very_Good,Predicted,91.37392972289294
48.0,Excellent_Very_Good,Actual,18.04516192026816
48.0,Excellent_Very_Good,Predicted,18.134140874430404
49.0,Excellent_Very_Good,Actual,74.11188729132643
49.0,Excellent_Very_Good,Predicted,72.39561291710245
50.0,Excellent_Very_Good,Actual,42.23740436431404
50.0,Excellent_Very_Good,Predicted,39.6449831927446
51.0,Excellent_Very_Good,Actual,42.64535726849423
51.0,Excellent_Very_Good,Predicted,49.635666225888805
52.0,Excellent_Very_Good,Actual,63.43798686338388
52.0,Excellent_Very_Good,Predicted,61.87644093793762
53.0,Excellent_Very_Good,Actual,52.29062010283453
53.0,Excellent_Very_Good,Predicted,48.9069295543233
54.0,Excellent_Very_Good,Actual,41.48859784394432
54.0,Excellent_Very_Good,Predicted,44.03704917519408
55.0,Excellent_Very_Good,Actual,0.1426880562758192
55.0,Excellent_Very_Good,Predicted,0.6651799653248318
56.0,Excellent_Very_Good,Actual,9.226234584675208
56.0,Excellent_Very_Good,Predicted,8.922979119451536
57.0,Excellent_Very_Good,Actual,70.93943937252128
57.0,Excellent_Very_Good,Predicted,74.06464661672325
58.0,Excellent_Very_Good,Actual,52.43455967651972
58.0,Excellent_Very_Good,Predicted,54.389061340090464
59.0,Excellent_Very_Good,Actual,69.6160463516969
59.0,Excellent_Very_Good,Predicted,71.06480635550126
60.0,Excellent_Very_Good,Actual,95.5468323002926
60.0,Excellent_Very_Good,Predicted,99.40363423785824
61.0,Excellent_Very_Good,Actual,68.29138543754175
